realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783141484154793,459,-16249,22801,-22620,-10645,0,0,0
1783141484159119,460,-17277,22032,-21907,-12044,0,0,0
1783141484162366,461,-18269,21217,-21108,-13396,0,0,0
1783141484166694,462,-19223,20357,-20225,-14695,0,0,0
1783141484171018,463,-20136,19454,-19262,-15936,0,0,0
1783141484174263,464,-21007,18510,-18224,-17114,0,0,0
1783141484178549,465,-21833,17528,-17113,-18225,0,0,0
1783141484182877,466,-22614,16508,-15935,-19263,0,0,0
1783141484187203,467,-23347,15454,-14694,-20226,0,0,0
1783141484190447,468,-24031,14368,-13395,-21109,0,0,0
1783141484194775,469,-24665,13251,-12043,-21908,0,0,0
1783141484199106,470,-25246,12106,-10644,-22621,0,0,0
1783141484202351,471,-25775,10936,-9203,-23245,0,0,0
1783141484206682,472,-26249,9742,-7725,-23777,0,0,0
1783141484211007,473,-26668,8529,-6217,-24215,0,0,0
1783141484214248,474,-27032,7297,-4684,-24558,0,0,0
1783141484218552,475,-27338,6050,-3133,-24803,0,0,0
1783141484235804,477,-27777,3521,0,-25001,0,0,0
1783141484236888,479,-27983,961,3133,-24803,0,0,0
1783141484239060,480,-27998,-322,4684,-24558,0,0,0
1783141484243468,481,-27954,-1605,6217,-24215,0,0,0
1783141484246721,482,-27851,-2885,7725,-23777,0,0,0
1783141484251053,483,-27689,-4159,9203,-23245,0,0,0
1783141484255384,484,-27469,-5424,10644,-22621,0,0,0
