realtime_us,packet,lx,ly,rx,ry,lt,rt,buttons
1783106938556660,265,11231,-25649,-21907,-12044,0,0,0
1783106938557758,266,12396,-25107,-21108,-13396,0,0,0
1783106938558878,267,13534,-24512,-20225,-14695,0,0,0
1783106938559967,268,14643,-23866,-19262,-15936,0,0,0
1783106938561067,269,15722,-23170,-18224,-17114,0,0,0
1783106938562181,270,16768,-22424,-17113,-18225,0,0,0
1783106938563263,271,17778,-21632,-15935,-19263,0,0,0
1783106938564372,272,18751,-20794,-14694,-20226,0,0,0
1783106938565456,274,20577,-18989,-12043,-21908,0,0,0
1783106938566561,275,21426,-18026,-10644,-22621,0,0,0
1783106938567676,276,22230,-17025,-9203,-23245,0,0,0
1783106938568756,277,22987,-15988,-7725,-23777,0,0,0
1783106938570888,278,23696,-14917,-6217,-24215,0,0,0
1783106938571971,279,24355,-13815,-4684,-24558,0,0,0
1783106938573056,280,24962,-12684,-3133,-24803,0,0,0
1783106938574136,281,25517,-11526,-1569,-24951,0,0,0
1783106938575218,282,26019,-10344,0,-25001,0,0,0
1783106938576303,283,26857,-7917,3133,-24803,0,0,0
1783106938577388,284,27192,-6677,4684,-24558,0,0,0
1783106938578471,285,27469,-5424,6217,-24215,0,0,0
1783106938579553,286,27689,-4159,7725,-23777,0,0,0
1783106938580636,287,27851,-2885,9203,-23245,0,0,0
1783106938581717,288,27954,-1605,10644,-22621,0,0,0
1783106938582765,289,27998,-322,12043,-21908,0,0,0
1783106938583847,290,27983,961,13395,-21109,0,0,0
1783106938584930,291,27909,2243,14694,-20226,0,0,0
1783106938586011,292,27777,3521,15935,-19263,0,0,0
1783106938587095,293,27338,6050,18224,-17114,0,0,0
1783106938588148,294,27032,7297,19262,-15936,0,0,0
1783106938589239,295,26668,8529,20225,-14695,0,0,0
1783106938590321,296,26249,9742,21108,-13396,0,0,0
1783106938591403,297,25775,10936,21907,-12044,0,0,0
1783106938592485,298,25246,12106,22620,-10645,0,0,0
1783106938593577,299,24665,13251,23244,-9204,0,0,0
1783106938594659,300,24031,14368,23776,-7726,0,0,0
1783106938595742,301,23347,15454,24214,-6218,0,0,0
1783106938596824,302,22614,16508,24557,-4685,0,0,0
1783106938597907,304,21007,18510,24950,-1570,0,0,0
1783106938598991,305,20136,19454,25000,-1,0,0,0
1783106938600081,306,19223,20357,24950,1568,0,0,0
1783106938601141,307,18269,21217,24802,3132,0,0,0
1783106938602222,308,17277,22032,24557,4683,0,0,0
1783106938603305,309,16249,22801,24214,6216,0,0,0
1783106938604386,310,15187,23522,23776,7724,0,0,0
1783106938605469,311,14092,24194,23244,9202,0,0,0
1783106938606552,312,12968,24814,22620,10643,0,0,0
1783106938607635,313,11817,25383,21907,12042,0,0,0
1783106938608717,315,9442,26358,20225,14693,0,0,0
1783106938609798,316,8223,26764,19262,15934,0,0,0
1783106938610880,317,6988,27112,18224,17112,0,0,0
1783106938611962,318,5737,27404,17113,18223,0,0,0
1783106938613046,319,4475,27639,15935,19261,0,0,0
1783106938614136,320,3203,27815,14694,20224,0,0,0
1783106938615222,321,1924,27932,13395,21107,0,0,0
1783106938616306,322,642,27991,12043,21906,0,0,0
1783106938617389,323,-642,27991,10644,22619,0,0,0
1783106938618470,324,-1924,27932,9203,23243,0,0,0
1783106938619555,325,-4475,27639,6217,24213,0,0,0
1783106938620635,326,-5737,27404,4684,24556,0,0,0
1783106938621717,327,-6988,27112,3133,24801,0,0,0
1783106938622797,328,-8223,26764,1569,24949,0,0,0
1783106938623879,329,-9442,26358,0,24999,0,0,0
1783106938624960,330,-10640,25898,-1569,24949,0,0,0
1783106938626039,331,-11817,25383,-3133,24801,0,0,0
1783106938627121,332,-12968,24814,-4684,24556,0,0,0
1783106938628202,333,-14092,24194,-6217,24213,0,0,0
1783106938629285,334,-15187,23522,-7725,23775,0,0,0
1783106938630381,335,-16249,22801,-9203,23243,0,0,0
1783106938631462,337,-18269,21217,-12043,21906,0,0,0
1783106938632571,338,-19223,20357,-13395,21107,0,0,0
1783106938633683,339,-20136,19454,-14694,20224,0,0,0
1783106938634766,340,-21007,18510,-15935,19261,0,0,0
1783106938636994,342,-22614,16508,-18224,17112,0,0,0
1783106938638079,343,-23347,15454,-19262,15934,0,0,0
1783106938639183,344,-24031,14368,-20225,14693,0,0,0
1783106938640266,345,-24665,13251,-21108,13394,0,0,0
1783106938641377,346,-25775,10936,-22620,10643,0,0,0
1783106938642460,347,-26249,9742,-23244,9202,0,0,0
1783106938643545,348,-26668,8529,-23776,7724,0,0,0
1783106938644660,349,-27032,7297,-24214,6216,0,0,0
1783106938645789,350,-27338,6050,-24557,4683,0,0,0
1783106938646872,351,-27586,4790,-24802,3132,0,0,0
1783106938647955,352,-27777,3521,-24950,1568,0,0,0
1783106938649066,353,-27909,2243,-25000,-1,0,0,0
1783106938650208,354,-27983,961,-24950,-1570,0,0,0
1783106938651302,355,-27998,-322,-24802,-3134,0,0,0
1783106938653501,357,-27689,-4159,-23776,-7726,0,0,0
1783106938654582,358,-27469,-5424,-23244,-9204,0,0,0
1783106938655663,359,-27192,-6677,-22620,-10645,0,0,0
1783106938656758,360,-26857,-7917,-21907,-12044,0,0,0
1783106938658959,362,-26019,-10344,-20225,-14695,0,0,0
1783106938660061,363,-25517,-11526,-19262,-15936,0,0,0
1783106938661166,364,-24962,-12684,-18224,-17114,0,0,0
1783106938662271,365,-24355,-13815,-17113,-18225,0,0,0
1783106938664469,368,-22230,-17025,-13395,-21109,0,0,0
1783106938665556,369,-21426,-18026,-12043,-21908,0,0,0
1783106938666636,370,-20577,-18989,-10644,-22621,0,0,0
1783106938667753,371,-19685,-19913,-9203,-23245,0,0,0
1783106938668834,372,-18751,-20794,-7725,-23777,0,0,0
1783106938669941,373,-17778,-21632,-6217,-24215,0,0,0
1783106938671025,374,-16768,-22424,-4684,-24558,0,0,0
1783106938672177,375,-15722,-23170,-3133,-24803,0,0,0
1783106938673261,376,-14643,-23866,-1569,-24951,0,0,0
1783106938674341,377,-13534,-24512,0,-25001,0,0,0
1783106938675439,378,-11231,-25649,3133,-24803,0,0,0
1783106938676558,379,-10044,-26137,4684,-24558,0,0,0
1783106938677660,380,-8835,-26570,6217,-24215,0,0,0
1783106938678744,381,-7608,-26947,7725,-23777,0,0,0
1783106938679843,382,-6364,-27268,9203,-23245,0,0,0
1783106938680986,383,-5107,-27531,10644,-22621,0,0,0
1783106938682066,384,-3840,-27736,12043,-21908,0,0,0
1783106938683157,385,-2564,-27883,13395,-21109,0,0,0
1783106938684240,386,-1283,-27971,14694,-20226,0,0,0
1783106938685344,387,0,-28001,15935,-19263,0,0,0
1783106938686484,388,2564,-27883,18224,-17114,0,0,0
1783106938687587,389,3840,-27736,19262,-15936,0,0,0
1783106938688712,390,5107,-27531,20225,-14695,0,0,0
1783106938689798,391,6364,-27268,21108,-13396,0,0,0
1783106938690882,392,7608,-26947,21907,-12044,0,0,0
1783106938691990,393,8835,-26570,22620,-10645,0,0,0
1783106938694123,394,10044,-26137,23244,-9204,0,0,0
1783106938695209,395,11231,-25649,23776,-7726,0,0,0
1783106938696291,396,12396,-25107,24214,-6218,0,0,0
1783106938697377,397,14643,-23866,24802,-3134,0,0,0
1783106938698428,398,15722,-23170,24950,-1570,0,0,0
1783106938699519,399,16768,-22424,25000,-1,0,0,0
1783106938700601,400,17778,-21632,24950,1568,0,0,0
1783106938701683,401,18751,-20794,24802,3132,0,0,0
1783106938702771,402,19685,-19913,24557,4683,0,0,0
1783106938703857,403,20577,-18989,24214,6216,0,0,0
1783106938704942,404,21426,-18026,23776,7724,0,0,0
1783106938706022,405,22230,-17025,23244,9202,0,0,0
1783106938707106,406,22987,-15988,22620,10643,0,0,0
1783106938708142,407,24355,-13815,21108,13394,0,0,0
1783106938709224,408,24962,-12684,20225,14693,0,0,0
1783106938710306,409,25517,-11526,19262,15934,0,0,0
1783106938711388,410,26019,-10344,18224,17112,0,0,0
1783106938712470,411,26466,-9140,17113,18223,0,0,0
1783106938713553,412,26857,-7917,15935,19261,0,0,0
1783106938714636,413,27192,-6677,14694,20224,0,0,0
1783106938715720,414,27469,-5424,13395,21107,0,0,0
