realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783142927814044,0,1,1447,-20136,19454,12582,20813,0,0,0
1783142927814054,1,1,1448,-14545,-16506,15451,13460,0,0,1
1783142927815119,0,1,1448,-20136,19454,12582,21601,0,0,0
1783142927815128,1,1,1450,-14545,-16506,15451,12697,0,0,0
1783142927818322,0,1,1450,-21007,18510,12582,21601,0,0,0
1783142927818340,1,1,1453,-15213,-15892,16071,12697,0,0,0
1783142927819372,0,1,1452,-21007,18510,11273,22313,0,0,0
1783142927819381,1,1,1454,-15213,-15892,16071,11902,0,0,0
1783142927820461,1,1,1455,-15856,-15892,16071,11902,0,0,0
1783142927821544,0,1,1455,-21833,17528,9923,22313,0,0,0
1783142927821553,1,1,1457,-15856,-15251,16651,11902,0,0,0
1783142927822619,0,1,1456,-21833,17528,9923,22945,0,0,0
1783142927822627,1,1,1458,-15856,-15251,16651,11077,0,0,0
1783142927824824,1,1,1459,-16472,-15251,16651,11077,0,0,0
1783142927825894,0,1,1458,-22614,16508,9923,22945,0,0,0
1783142927825921,1,1,1462,-16472,-14583,17189,10223,0,0,0
1783142927826986,0,1,1460,-22614,16508,8538,23495,0,0,0
1783142927829209,1,1,1463,-17060,-14583,17189,10223,0,0,0
1783142927830244,0,1,1463,-23347,15454,7123,23495,0,0,0
1783142927830407,1,1,1465,-17060,-13891,17682,10223,0,0,0
1783142927831474,0,1,1464,-23347,15454,7123,23962,0,0,0
1783142927831507,1,1,1466,-17060,-13891,17682,9343,0,0,0
1783142927833645,0,1,1465,-24031,15454,7123,23962,0,0,0
1783142927833655,1,1,1467,-17618,-13891,17682,9343,0,0,0
1783142927834720,0,1,1467,-24031,14368,5682,23962,0,0,0
1783142927834746,1,1,1470,-17618,-13175,18131,8439,0,0,0
1783142927835812,0,1,1468,-24031,14368,5682,24344,0,0,0
1783142927836889,0,1,1469,-24665,14368,5682,24344,0,0,0
1783142927836898,1,1,1471,-18147,-13175,18131,8439,0,0,0
1783142927838042,0,1,1472,-24665,13251,4221,24639,0,0,0
1783142927838080,1,1,1474,-18147,-12437,18534,7514,0,0,0
1783142927841332,0,1,1473,-25246,13251,4221,24639,0,0,0
1783142927841343,1,1,1475,-18645,-12437,18534,7514,0,0,0
1783142927842377,0,1,1476,-25246,12106,2746,24847,0,0,0
1783142927842390,1,1,1477,-18645,-11678,18889,7514,0,0,0
1783142927843463,1,1,1478,-18645,-11678,18889,6570,0,0,0
1783142927845605,0,1,1477,-25775,12106,2746,24847,0,0,0
1783142927845615,1,1,1479,-19111,-11678,18889,6570,0,0,0
1783142927846682,0,1,1479,-25775,10936,1260,24847,0,0,0
1783142927846693,1,1,1482,-19111,-10898,19196,5609,0,0,0
1783142927847757,0,1,1480,-25775,10936,1260,24967,0,0,0
1783142927849906,0,1,1481,-26249,10936,1260,24967,0,0,0
1783142927849919,1,1,1483,-19544,-10898,19196,5609,0,0,0
1783142927850985,0,1,1484,-26249,9742,-229,24997,0,0,0
1783142927850994,1,1,1485,-19544,-10101,19455,5609,0,0,0
1783142927852066,1,1,1486,-19544,-10101,19455,4634,0,0,0
1783142927853135,0,1,1485,-26668,9742,-229,24997,0,0,0
1783142927853146,1,1,1487,-19944,-10101,19455,4634,0,0,0
1783142927854214,0,1,1488,-26668,8529,-1718,24939,0,0,0
1783142927854256,1,1,1490,-19944,-9285,19664,3647,0,0,0
1783142927857478,0,1,1489,-27032,8529,-1718,24939,0,0,0
1783142927857534,1,1,1491,-20310,-9285,19664,3647,0,0,0
1783142927858602,0,1,1491,-27032,7297,-3201,24939,0,0,0
1783142927858611,1,1,1493,-20310,-8454,19823,3647,0,0,0
1783142927859676,0,1,1492,-27032,7297,-3201,24793,0,0,0
1783142927859684,1,1,1494,-20310,-8454,19823,2651,0,0,0
1783142927861815,0,1,1493,-27338,7297,-3201,24793,0,0,0
1783142927861825,1,1,1495,-20642,-8454,19823,2651,0,0,0
1783142927862891,0,1,1495,-27338,6050,-4673,24793,0,0,0
1783142927862899,1,1,1497,-20642,-7609,19931,2651,0,0,0
1783142927863965,0,1,1496,-27338,6050,-4673,24558,0,0,0
1783142927863973,1,1,1498,-20642,-7609,19931,1648,0,0,0
1783142927866096,0,1,1497,-27586,6050,-4673,24558,0,0,0
1783142927866105,1,1,1499,-20938,-7609,19931,1648,0,0,0
1783142927867166,0,1,1499,-27586,4790,-6128,24558,0,0,0
1783142927867175,1,1,1501,-20938,-6751,19989,1648,0,0,0
1783142927868241,0,1,1500,-27586,4790,-6128,24236,0,0,0
1783142927868249,1,1,1502,-20938,-6751,19989,640,0,0,0
1783142927869316,0,1,1501,-27777,4790,-6128,24236,0,0,0
1783142927869339,1,1,1503,-21199,-6751,19989,640,0,0,0
1783142927870374,0,1,1503,-27777,3521,-7561,24236,0,0,0
1783142927870384,1,1,1505,-21199,-5881,19996,640,0,0,0
1783142927871448,0,1,1504,-27777,3521,-7561,23827,0,0,0
1783142927871456,1,1,1506,-21199,-5881,19996,-367,0,0,0
1783142927873653,0,1,1505,-27909,3521,-7561,23827,0,0,0
1783142927873706,1,1,1507,-21424,-5881,19996,-367,0,0,0
1783142927874773,0,1,1507,-27909,2243,-8968,23827,0,0,0
1783142927874783,1,1,1509,-21424,-5001,19952,-367,0,0,0
1783142927875848,0,1,1508,-27909,2243,-8968,23335,0,0,0
1783142927875856,1,1,1510,-21424,-5001,19952,-1375,0,0,0
1783142927878034,0,1,1509,-27983,2243,-8968,23335,0,0,0
1783142927878044,1,1,1511,-21612,-5001,19952,-1375,0,0,0
1783142927879111,0,1,1511,-27983,961,-10342,23335,0,0,0
1783142927879123,1,1,1513,-21612,-4113,19857,-1375,0,0,0
1783142927880190,0,1,1512,-27983,961,-10342,22759,0,0,0
1783142927880199,1,1,1514,-21612,-4113,19857,-2380,0,0,0
1783142927882362,0,1,1513,-27998,961,-10342,22759,0,0,0
1783142927882409,1,1,1515,-21763,-4113,19857,-2380,0,0,0
1783142927883477,0,1,1515,-27998,-322,-11680,22759,0,0,0
1783142927883488,1,1,1517,-21763,-3218,19712,-2380,0,0,0
1783142927884554,0,1,1516,-27998,-322,-11680,22102,0,0,0
1783142927884563,1,1,1518,-21763,-3218,19712,-3378,0,0,0
1783142927885630,0,1,1517,-27954,-322,-11680,22102,0,0,0
1783142927885665,1,1,1519,-21877,-3218,19712,-3378,0,0,0
1783142927886733,0,1,1519,-27954,-1605,-12976,22102,0,0,0
1783142927886745,1,1,1521,-21877,-2317,19517,-3378,0,0,0
1783142927887811,0,1,1520,-27954,-1605,-12976,21367,0,0,0
1783142927887819,1,1,1522,-21877,-2317,19517,-4368,0,0,0
1783142927889959,0,1,1521,-27851,-1605,-12976,21367,0,0,0
1783142927889971,1,1,1523,-21954,-2317,19517,-4368,0,0,0
1783142927891007,0,1,1523,-27851,-2885,-14227,21367,0,0,0
1783142927891016,1,1,1525,-21954,-1412,19272,-4368,0,0,0
1783142927892080,0,1,1524,-27851,-2885,-14227,20556,0,0,0
1783142927892088,1,1,1526,-21954,-1412,19272,-5346,0,0,0
1783142927894276,0,1,1525,-27689,-2885,-14227,20556,0,0,0
1783142927894290,1,1,1527,-21994,-1412,19272,-5346,0,0,0
1783142927895336,0,1,1527,-27689,-4159,-15426,20556,0,0,0
1783142927895345,1,1,1529,-21994,-505,18978,-5346,0,0,0
1783142927896375,0,1,1528,-27689,-4159,-15426,19671,0,0,0
1783142927896384,1,1,1530,-21994,-505,18978,-6312,0,0,0
1783142927898534,1,1,1531,-21996,-505,18978,-6312,0,0,0
1783142927899602,0,1,1531,-27469,-5424,-16571,19671,0,0,0
1783142927899611,1,1,1533,-21996,402,18635,-6312,0,0,0
1783142927900675,0,1,1532,-27469,-5424,-16571,18717,0,0,0
1783142927900684,1,1,1534,-21996,402,18635,-7261,0,0,0
1783142927901762,0,1,1533,-27192,-5424,-16571,18717,0,0,0
1783142927902839,0,1,1535,-27192,-6677,-17657,18717,0,0,0
1783142927902848,1,1,1536,-21960,1309,18635,-7261,0,0,0
1783142927903912,0,1,1536,-27192,-6677,-17657,17696,0,0,0
1783142927903921,1,1,1538,-21960,1309,18245,-8191,0,0,0
1783142927907141,0,1,1539,-26857,-7917,-18680,17696,0,0,0
1783142927907153,1,1,1540,-21888,2214,18245,-8191,0,0,0
1783142927908219,0,1,1540,-26857,-7917,-18680,16613,0,0,0
1783142927908227,1,1,1542,-21888,2214,17809,-9101,0,0,0
1783142927911376,0,1,1543,-26466,-9140,-19637,16613,0,0,0
1783142927911390,1,1,1544,-21778,3116,17809,-9101,0,0,0
1783142927912456,0,1,1544,-26466,-9140,-19637,15470,0,0,0
1783142927912464,1,1,1546,-21778,3116,17328,-9987,0,0,0
1783142927915682,0,1,1547,-26019,-10344,-20524,15470,0,0,0
1783142927915691,1,1,1548,-21630,4012,17328,-9987,0,0,0
1783142927916756,0,1,1548,-26019,-10344,-20524,14273,0,0,0
1783142927916764,1,1,1550,-21630,4012,16802,-10848,0,0,0
1783142927918906,0,1,1551,-25517,-11526,-21338,14273,0,0,0
1783142927918917,1,1,1553,-21446,4901,16234,-10848,0,0,0
1783142927919984,0,1,1552,-25517,-11526,-21338,13024,0,0,0
1783142927919993,1,1,1554,-21446,4901,16234,-11682,0,0,0
1783142927923201,0,1,1554,-24962,-12684,-21338,13024,0,0,0
1783142927923213,1,1,1556,-21226,5782,16234,-11682,0,0,0
1783142927924279,0,1,1556,-24962,-12684,-22076,11730,0,0,0
1783142927924288,1,1,1558,-21226,5782,15624,-12486,0,0,0
1783142927927506,0,1,1558,-24355,-13815,-22076,11730,0,0,0
1783142927927520,1,1,1560,-20969,6653,15624,-12486,0,0,0
1783142927928586,0,1,1560,-24355,-13815,-22736,10393,0,0,0
1783142927928594,1,1,1562,-20969,6653,14974,-13258,0,0,0
1783142927931805,0,1,1562,-23696,-14917,-22736,10393,0,0,0
1783142927931816,1,1,1564,-20677,7512,14974,-13258,0,0,0
1783142927932882,0,1,1564,-23696,-14917,-23315,9020,0,0,0
