realtime_us,slot,connected,packet,lx,ly,rx,ry,lt,rt,buttons
1783108429156560,1,1,155,21988,-707,2697,-19818,0,0,0
1783108429157653,0,1,152,19685,-19913,6017,24264,0,0,0
1783108429157672,1,1,156,21940,-1613,1694,-19929,0,0,0
1783108429158761,0,1,153,20577,-18989,4560,24579,0,0,0
1783108429158781,1,1,158,21733,-3417,-321,-19998,0,0,0
1783108429159865,0,1,154,21426,-18026,3087,24807,0,0,0
1783108429159997,1,1,159,21573,-4311,-1329,-19956,0,0,0
1783108429161081,0,1,155,22230,-17025,1604,24947,0,0,0
1783108429162151,0,1,156,22987,-15988,114,24998,0,0,0
1783108429162227,1,1,161,21144,-6075,-3332,-19721,0,0,0
1783108429163299,0,1,157,23696,-14917,-1375,24961,0,0,0
1783108429164402,0,1,158,24355,-13815,-2860,24834,0,0,0
1783108429164419,1,1,162,20875,-6943,-4322,-19528,0,0,0
1783108429165502,0,1,159,24962,-12684,-4334,24620,0,0,0
1783108429165521,1,1,163,20571,-7798,-5301,-19285,0,0,0
1783108429166605,0,1,160,25517,-11526,-5794,24318,0,0,0
1783108429166622,1,1,164,20232,-8640,-6267,-18993,0,0,0
1783108429167704,0,1,161,26019,-10344,-7233,23929,0,0,0
1783108429167719,1,1,165,19858,-9468,-7217,-18653,0,0,0
1783108429168827,0,1,163,26857,-7917,-10028,22899,0,0,0
1783108429168847,1,1,167,19010,-11073,-9059,-17831,0,0,0
1783108429169927,0,1,164,27192,-6677,-11375,22261,0,0,0
1783108429169944,1,1,168,18537,-11848,-9946,-17352,0,0,0
1783108429171058,0,1,165,27469,-5424,-12681,21543,0,0,0
1783108429171076,1,1,169,18032,-12603,-10809,-16828,0,0,0
1783108429172142,0,1,166,27689,-4159,-13942,20749,0,0,0
1783108429172159,1,1,170,17497,-13336,-11644,-16261,0,0,0
1783108429173242,0,1,167,27851,-2885,-15154,19882,0,0,0
1783108429173260,1,1,171,16931,-14047,-12449,-15653,0,0,0
1783108429174343,0,1,168,27954,-1605,-16312,18943,0,0,0
1783108429174360,1,1,172,16337,-14734,-13222,-15006,0,0,0
1783108429175444,0,1,169,27998,-322,-17412,17938,0,0,0
1783108429175463,1,1,173,15716,-15395,-13962,-14320,0,0,0
1783108429176549,0,1,170,27983,961,-18450,16868,0,0,0
1783108429176566,1,1,174,15067,-16031,-14666,-13598,0,0,0
1783108429177648,0,1,171,27909,2243,-19422,15739,0,0,0
1783108429177668,1,1,175,14393,-16639,-15333,-12841,0,0,0
